Type,Name,Value
TXT,_amazonses.intigam.tech,at1vfQmNYGxDC0rZnez7y4ctZDW7SZMm+p7xji6zmtY=
TXT,intigam.tech,amazonses:at1vfQmNYGxDC0rZnez7y4ctZDW7SZMm+p7xji6zmtY=
